ID,TargetEmotion,nGeneration,selected_elite_cosdist,selected_elite_cosdist,selected_cen_cosdist,selected_cen_cosdist,selected_elite_cosdist_bs,selected_elite_cosdist_bs,selected_cen_cosdist_bs,selected_cen_cosdist_bs,nonselected_elite_cosdist,nonselected_elite_cosdist,nonselected_cen_cosdist,nonselected_cen_cosdist,nonselected_elite_cosdist_bs,nonselected_elite_cosdist_bs,nonselected_cen_cosdist_bs,nonselected_cen_cosdist_bs
,,,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count,mean,count
S1HC01,Angry,1,0.7210942953866062,2,0.4196589507175802,2,0.49708431723765967,2,0.29537900325413297,2,1.047867087939487,8,0.513349787161295,8,0.8852962049231561,8,0.5589726175289722,8
S1HC01,Angry,2,0.5997327641048683,5,0.25798968886348755,5,0.47966579488253014,5,0.27995126344207355,5,1.0253350581225225,5,0.6433580463189225,5,0.8467545606250931,5,0.5219851295458602,5
S1HC01,Angry,3,0.5291382272304622,6,0.33103793284892685,6,0.492659830504145,6,0.36270799086806055,6,0.7675492054446658,4,0.231681923462881,4,0.7450643783490347,4,0.3569566442277329,4
S1HC01,Angry,4,0.46567073901627476,5,0.2329950517091551,5,0.43329393517793824,5,0.2407745114392948,5,1.0118922943187516,5,0.5761059545165407,5,0.7804374323923078,5,0.4655713570860513,5
S1HC01,Angry,5,0.23506297107628837,6,0.13564090886357752,6,0.26270393932822705,6,0.1596267258551747,6,1.0157979104296886,4,0.46882605194714566,4,0.9035646528755507,4,0.46483408460451914,4
S1HC01,Angry,6,0.10409112607464288,4,0.08796925298771674,4,0.11469067746902387,4,0.09326613435875142,4,0.9410647521557705,6,0.7178657247229415,6,0.78476873088458,6,0.5015117063137925,6
S1HC01,Angry,7,0.10867655632691121,6,0.09308285250237586,6,0.12419276792863232,6,0.10536318487090644,6,1.0723837038462598,4,0.3810350052352528,4,0.8208976662757193,4,0.4043452793618304,4
S1HC01,Angry,8,0.11680162368351728,6,0.09400429056861805,6,0.08983012746806462,6,0.06774731435951781,6,1.3111773126412294,4,0.2894550843624943,4,0.9097919890219118,4,0.3544051354099907,4
S1HC01,Fearful,1,0.7125415207150181,4,0.42915172279217206,4,0.5836106645498009,4,0.4183380142427882,4,0.945394031484275,6,0.41579810583501714,6,0.7359160977227512,6,0.5549796858836639,6
S1HC01,Fearful,2,0.6383858776669413,3,0.3453954811630496,3,0.5947268557893716,3,0.351645916110541,3,0.8945271801983216,7,0.3919342402541707,7,0.6442760063585952,7,0.3573467163256946,7
S1HC01,Fearful,3,0.6249640964900905,4,0.3789162110952824,4,0.5420527441608606,4,0.2882397590077749,4,1.0544043930690512,6,0.46909460208566917,6,0.8190818985467933,6,0.4600943644187414,6
S1HC01,Fearful,4,0.5546227691568398,3,0.23126829636670732,3,0.468072347975759,3,0.22971395519445945,3,0.9185805858690791,7,0.6140109297669474,7,0.7286865977958018,7,0.4781868282506704,7
S1HC01,Fearful,5,0.5491907216111864,4,0.2656737259084789,4,0.48930418125562297,4,0.22313511452589888,4,0.8586176925631154,6,0.6317214506564198,6,0.6416394900515974,6,0.39191671701585085,6
S1HC01,Fearful,6,0.48277189772905266,4,0.2265096968384717,4,0.4371937498060716,4,0.2232457688050815,4,0.9343640054065294,6,0.49665194761928017,6,0.7021144878203786,6,0.4064381226233899,6
S1HC01,Fearful,7,0.36956767523688683,5,0.13378134795368327,5,0.3379265263256867,5,0.08877675669619504,5,0.9591131758707905,5,0.6427369861919457,5,0.8276039735841666,5,0.43258348365998717,5
S1HC01,Fearful,8,0.3274284279457195,5,0.14561445236691592,5,0.2871117182297237,5,0.09956499300947612,5,1.0706120462798434,5,0.5366411616313468,5,0.8124081825229202,5,0.4571305717443826,5
S1HC01,Happy,1,0.5515040743268339,3,0.21016754742364807,3,0.6231972025173022,3,0.32172519145677936,3,1.0877077508888007,7,0.5784242152815933,7,0.9128054339660558,7,0.5597195474636142,7
S1HC01,Happy,2,0.458063464347038,6,0.2645024609435866,6,0.5255351484606275,6,0.3571307387106879,6,0.7665339613986886,4,0.4810045095787123,4,0.6576315532676841,4,0.3808583942511629,4
S1HC01,Happy,3,0.3722393949282575,5,0.2536162806723567,5,0.41656264218357064,5,0.18438970833618104,5,0.9473924712382823,5,0.5344728222089092,5,0.7781765125282325,5,0.45041150556564125,5
S1HC01,Happy,4,0.29156924180555777,3,0.19015220261433444,3,0.3538589120332749,3,0.09053410484700515,3,0.78387757364689,7,0.4813898755768667,7,0.7549397384020612,7,0.48074415690864364,7
S1HC01,Happy,5,0.29270737714049955,4,0.11135588470139643,4,0.36579483243495015,4,0.08629271111817954,4,0.8816789793958932,6,0.6012446333789284,6,0.7593053045810256,6,0.5023664376306974,6
S1HC01,Happy,6,0.30054626206966756,4,0.09279766613290544,4,0.3292307388199598,4,0.09799434968672963,4,0.8237697456322631,6,0.5793559126317797,6,0.7040954879385092,6,0.510948165327116,6
S1HC01,Happy,7,0.3098350526057234,4,0.1319324070342995,4,0.2874861135606276,4,0.12028203969031465,4,0.6900681674427691,6,0.4794927097842144,6,0.6840329447905639,6,0.4565983809402557,6
S1HC01,Happy,8,0.2839544020895821,6,0.16585347259902966,6,0.276373957952924,6,0.18131426887214366,6,0.8493261510057162,4,0.4414716092418295,4,0.721295431168474,4,0.32161278299994134,4
S1HC02,Angry,1,0.8275053688407658,2,0.3191850538566495,2,0.6438613045314309,2,0.29477276025243343,2,1.2925406177167886,8,0.5396908728593839,8,0.8903379055328875,8,0.6038803178920239,8
S1HC02,Angry,2,0.5028271794508256,3,0.26478946765624256,3,0.42667492513315247,3,0.21198917653420332,3,1.0952185132282164,7,0.6134999776121927,7,0.9588107176557408,7,0.4546123952833661,7
S1HC02,Angry,3,0.6741571899672086,5,0.4803388247394504,5,0.5716580750506991,5,0.39537801051081667,5,0.7578318546491865,5,0.5108558574890144,5,0.6003017974219711,5,0.3442562391607219,5
S1HC02,Angry,4,0.41042309242499464,4,0.2865345545572768,4,0.37167067986392144,4,0.23185008383960534,4,0.8836519072731601,6,0.6241853666694731,6,0.7318610317869254,6,0.46936491220543175,6
S1HC02,Angry,5,0.38657194863883587,7,0.31480951120210504,7,0.2715162900792543,7,0.19051563594685364,7,1.1151082344542813,3,0.4720774918672399,3,0.7796033790065992,3,0.39102824430410504,3
S1HC02,Angry,6,0.3733649175121993,6,0.2659101640453297,6,0.20419702694817152,6,0.13091453078444618,6,1.3031419399329474,4,0.43155670664355517,4,0.9084945186271404,4,0.3989097815015331,4
S1HC02,Angry,7,0.24670682835306385,5,0.19371531967527733,5,0.12179660363884948,5,0.08855329669124154,5,1.075829066115249,5,0.6289429237250691,5,0.7612591631764036,5,0.4623791269500364,5
S1HC02,Angry,8,0.06829051763881126,5,0.03901460986663861,5,0.023974708354273,5,0.013369854454697627,5,0.7423387228387728,5,0.5375388401304886,5,0.6261779654908716,5,0.41019991764519215,5
S1HC02,Fearful,1,0.6787479648396646,4,0.4713047665430575,4,0.5641272510627368,4,0.38656880401649785,4,1.020850250981682,6,0.6103353314834034,6,0.8271653841556116,6,0.5357791746248352,6
S1HC02,Fearful,2,0.5568481725208038,7,0.39360983094937296,7,0.4413879722514443,7,0.2760744491960497,7,1.08357528926112,3,0.46370857122726505,3,0.783073292190938,3,0.37941801096652256,3
S1HC02,Fearful,3,0.4000736095011178,5,0.26041545102927566,5,0.3347202774541328,5,0.21158837186259333,5,0.7987782630496906,5,0.4537732278117258,5,0.709944829387099,5,0.4656656522443579,5
S1HC02,Fearful,4,0.24825997537601355,4,0.1947107232960319,4,0.238613093563896,4,0.17395788869945855,4,0.760261279039722,6,0.586322265382665,6,0.5825049567105495,6,0.46843718937081896,6
S1HC02,Fearful,5,0.34787364717976543,4,0.3143333045084682,4,0.28643353952584416,4,0.2475273280605783,4,0.7349954694058222,6,0.5495112504812881,6,0.5884691952334059,6,0.37036739257841034,6
S1HC02,Fearful,6,0.1652324544331855,3,0.12321499204888005,3,0.07219097459820327,3,0.05441008357735907,3,0.7661104908745269,7,0.6332637036655598,7,0.6111068499045376,7,0.46380414908267614,7
S1HC02,Fearful,7,0.04325286547898621,5,0.03523336687685552,5,0.02814088186552106,5,0.023739584672115212,5,0.8257242163121639,5,0.5472002512034796,5,0.5628008365348007,5,0.41835579436832904,5
S1HC02,Fearful,8,0.0726836266625725,6,0.05597392885844665,6,0.05469401289425294,6,0.044382261509107346,6,1.1186764797489983,4,0.4954168349017401,4,0.8534279315182014,4,0.46392882650969,4
S1HC02,Happy,1,0.762413334885102,3,0.3047888946609715,3,0.9674249419511108,3,0.5152495031318628,3,1.1737406723263273,7,0.5429238601567421,7,0.9119110154067643,7,0.5309446561737402,7
S1HC02,Happy,2,0.756142146381661,6,0.3891901394380317,6,0.9218550266624953,6,0.44595016818308064,6,1.1123396767640104,4,0.44668011626965975,4,0.9339116189368248,4,0.49180425281732065,4
S1HC02,Happy,3,0.9049870304936506,3,0.557744466008169,3,0.8065483229846269,3,0.3406932604847128,3,0.9410974849513,7,0.6491302081274315,7,0.9450338756697324,7,0.5133671718069072,7
S1HC02,Happy,4,0.9405186481274509,5,0.36202478428766016,5,0.766021354438192,5,0.24925214338029322,5,0.872247900591878,5,0.7151993476270285,5,0.8342170859642412,5,0.5187421486231338,5
S1HC02,Happy,5,0.7468531490736867,5,0.32294259245359164,5,0.7033542984020626,5,0.25394353305798323,5,0.8445136606564819,5,0.4849249461939908,5,0.7716248716721095,5,0.3782377125613473,5
S1HC02,Happy,6,0.6259728732298535,5,0.3006220678043131,5,0.7326741022745502,5,0.2935812270446003,5,0.867744198407105,5,0.5152740310196129,5,0.8174416964182415,5,0.38287806321860585,5
S1HC02,Happy,7,0.41704919256614587,5,0.12873720007802558,5,0.5476031479293199,5,0.1840248829020009,5,0.7710865267289595,5,0.4907490838558079,5,0.9580943662701593,5,0.38070753812684305,5
S1HC02,Happy,8,0.3652522151380259,7,0.18550819636334817,7,0.4263169738327449,7,0.19061366908302244,7,0.7636747818741162,3,0.4871019177913765,3,0.8720196597124549,3,0.4522785739378223,3
S1HC03,Angry,1,0.5258425391404605,2,0.2771442835205662,2,0.46744761983597194,2,0.24636701563353258,2,1.1679316323769005,8,0.5536837749772572,8,0.8744193890604662,8,0.5439169328272553,8
S1HC03,Angry,2,0.32496868234109527,2,0.06443272461060962,2,0.38082420978905335,2,0.0695796164933411,2,0.8120749030427485,8,0.5852707298837438,8,0.7246101563104235,8,0.4583305397151713,8
S1HC03,Angry,3,0.2963958306225528,5,0.10216511276687187,5,0.3479243891454621,5,0.13116893087209422,5,1.0545043251306172,5,0.5641128612175004,5,0.8318929773086282,5,0.49090469172343865,5
S1HC03,Angry,4,0.18764389897694794,2,0.031200879216048694,2,0.2182369186525273,2,0.052822424931739165,2,0.7725675538386756,8,0.6153479180034453,8,0.6496835870601069,8,0.4529167853899374,8
S1HC03,Angry,5,0.2573474666509314,2,0.09879735437705756,2,0.25590416284015816,2,0.07041196908395497,2,0.7057148940371375,8,0.6015419615836117,8,0.548272061459383,8,0.4150720093746648,8
S1HC03,Angry,6,0.2900261616437702,5,0.15626640443192064,5,0.2561358220986394,5,0.12021008274848857,5,0.9488524665611642,5,0.5559670114017632,5,0.7809826359464301,5,0.46598208124193424,5
S1HC03,Angry,7,0.21142049619070766,5,0.1422171910897046,5,0.2085631735777671,5,0.1082080030554714,5,0.9289045119386554,5,0.5461138049944882,5,0.7719021199695135,5,0.39800716925803503,5
S1HC03,Angry,8,0.23784717445101758,7,0.1868120854542165,7,0.20591088822974404,7,0.15819515395960626,7,1.0304736029984953,3,0.5281684632758993,3,0.8694647032233163,3,0.42279265585111386,3
S1HC03,Fearful,1,1.1916265886471145,2,0.2461275665300019,2,0.8535312401266885,2,0.3021437538360276,2,0.9892559331133268,8,0.5515441996273469,8,0.7888512744441691,8,0.49869272051728925,8
S1HC03,Fearful,2,0.9257163878873863,3,0.19116661523981696,3,0.7295147360740989,3,0.10348760521406346,3,1.1973444246316274,7,0.5816058090133123,7,0.9104601838530451,7,0.5136681040994018,7
S1HC03,Fearful,3,0.8275980929769833,4,0.21298778910879876,4,0.6990039567526872,4,0.17326158644093717,4,0.9956319276699587,6,0.374298963945116,6,0.7815154473481862,6,0.3744878982884338,6
S1HC03,Fearful,4,0.7821027474715194,4,0.11167694401092643,4,0.692827538091711,4,0.10246921566253625,4,1.0173006848617219,6,0.6343394745754222,6,0.7678808792978159,6,0.5027879392830078,6
S1HC03,Fearful,5,0.6710673371591097,5,0.24633774463001884,5,0.5905555697270777,5,0.19307235623841743,5,0.992664068595921,5,0.48852740960004065,5,0.7903740122613093,5,0.39786000071558003,5
S1HC03,Fearful,6,0.6092232553505516,4,0.2563651174776705,4,0.46599761936908296,4,0.18035230148017012,4,0.9731793236141485,6,0.6115962607736247,6,0.7537667300556489,6,0.49462402570428426,6
S1HC03,Fearful,7,0.391516079035102,4,0.1427044438053045,4,0.276982197302683,4,0.10053139114545742,4,0.9489024686431357,6,0.6322192285524889,6,0.8292464642801193,6,0.45904767238373684,6
S1HC03,Fearful,8,0.19318940452143868,5,0.09349601741817534,5,0.15249690929870646,5,0.07564776102265876,5,0.8290352626017082,5,0.5687136112695967,5,0.7957057976775206,5,0.4718896651785209,5
S1HC03,Happy,1,0.6670303664496156,2,0.32151268825802615,2,0.7316115820993989,2,0.30001242080412477,2,0.9742398293573449,8,0.6072052089006345,8,0.9554511780997799,8,0.5949662501404402,8
S1HC03,Happy,2,0.6049505070215945,3,0.1574880970414024,3,0.5863666627943425,3,0.19015573900378832,3,0.8545280920281179,7,0.6999808275653195,7,0.9002374101255948,7,0.4964570852262196,7
S1HC03,Happy,3,0.547601353214385,3,0.11598623866621131,3,0.4964365576407894,3,0.17022461073724685,3,0.9473857043802375,7,0.5386406073517567,7,0.8575331791690101,7,0.4780095863981407,7
S1HC03,Happy,4,0.5472162851682363,2,0.017490501840877415,2,0.43749138789712855,2,0.055291208808725456,2,0.7506635742278411,8,0.5919734892568401,8,0.6619898575377003,8,0.47325372900032775,8
S1HC03,Happy,5,0.4740327034926082,4,0.19030433885694223,4,0.3669572192467317,4,0.14552561040591255,4,0.8721137442954713,6,0.5659277522673386,6,0.8424065197665294,6,0.5044787236410759,6
S1HC03,Happy,6,0.22751702139756405,4,0.1366566091653278,4,0.21225844139602812,4,0.101839262743087,4,0.737375347474596,6,0.47187582064923356,6,0.7529354073878793,6,0.48536767508495404,6
S1HC03,Happy,7,0.30552247704773144,6,0.19693161454287034,6,0.26406380147524794,6,0.14189497034615056,6,0.8708336010778923,4,0.44239401292440833,4,0.853959066481446,4,0.3813527986741161,4
S1HC03,Happy,8,0.1863243260215091,4,0.11526900592496842,4,0.17640418159696053,4,0.09221030879249326,4,1.0589969835537578,6,0.44766545720584405,6,0.8688378678533443,6,0.4244987320419962,6
S1HC04,Angry,1,0.8196475793983492,4,0.5443421815426885,4,0.7051642118512655,4,0.48621222679783216,4,1.1972133440424384,6,0.5589966424824073,6,0.8037674594686757,6,0.5159621704259898,6
